FirstName,LastName,POS,TEAM,OPP,OPP_RANK,OvrRank,PosRank,Yds,TDs,INTs,Att,Yds,TDs,Rec,Yds,TDs,FP,FP,Cost,Value
Theo,Riddick,RB,DET,OAK,#31,119,33,0.26,0,0,2.72,11.15,0.06,3.17,29.06,0.12,5.08,6.68,"$5,100",1.31
Pierre,Garcon,WR,WSH,CAR,#7,120,42,0,0,0,0,0,0,3.7,42.87,0.13,5.06,6.88,"$6,000",1.15
Harry,Douglas,WR,TEN,JAC,#23,121,43,0,0,0,0.06,1.07,0,3.12,37.52,0.2,5,6.7,"$5,300",1.26
Cecil,Shorts,WR,HOU,NYJ,#4,122,44,0,0,0,0,0,0,3.83,40.22,0.17,4.95,6.9,"$5,400",1.28
Jerricho,Cotchery,WR,CAR,WSH,#15,123,45,0,0,0,0,0,0,2.28,35.42,0.24,4.91,6.04,"$4,700",1.29
C.J.,Anderson,RB,DEN,CHI,#25,124,34,0,0,0,7.86,31.4,0.21,1.25,6.16,0,4.9,5.5,"$5,700",0.96
Anquan,Boldin,WR,SF,SEA,#3,125,46,0,0,0,0,0,0,3.29,40.58,0.15,4.9,6.54,"$5,700",1.15
Jermaine,Kearse,WR,SEA,SF,#29,126,47,0,0,0,0,0,0,3.09,39.8,0.15,4.87,6.43,"$5,200",1.24
Coby,Fleener,TE,IND,ATL,#19,127,18,0,0,0,0,0,0,3.01,31.19,0.29,4.83,6.32,"$5,000",1.26
Doug,Baldwin,WR,SEA,SF,#29,128,48,0,0,0,0,0,0,3.11,39.15,0.16,4.82,6.37,"$5,400",1.18
Vernon,Davis,TE,DEN,CHI,#25,129,19,0,0,0,0,0,0,2.81,29.54,0.3,4.78,6.16,"$5,000",1.23
Devin,Funchess,WR,CAR,WSH,#15,130,49,0,0,0,0,0,0,2.53,38.42,0.14,4.71,5.95,"$5,100",1.17
Marvin,Jones,WR,CIN,ARI,#6,131,50,0.68,0.02,0,0.02,0,0,3.04,39.1,0.12,4.69,6.22,"$5,400",1.15
Andre,Johnson,WR,IND,ATL,#19,132,51,0,0,0,0,0,0,2.09,28.38,0.27,4.46,5.5,"$5,400",1.02
Jordan,Cameron,TE,MIA,DAL,#22,133,20,0,0,0,0,0,0,2.24,27.18,0.29,4.41,5.58,"$4,900",1.14
Jay,Ajayi,RB,MIA,DAL,#22,134,35,0,0,0,3.7,24.65,0.3,0.78,1.47,0,4.39,4.8,"$5,200",0.92
Tyler,Lockett,WR,SEA,SF,#29,135,52,0,0,0,0.08,0.26,0,2.14,28.78,0.25,4.38,5.47,"$5,200",1.05
Charles,Sims,RB,TB,PHI,#5,136,36,0,0,0,4.94,21.74,0.04,2.12,16.8,0.06,4.35,5.35,"$5,200",1.03
Andre,Ellington,RB,ARI,CIN,#11,137,37,0,0,0,3.9,18.28,0.17,1.23,12.93,0.03,4.31,4.92,"$5,400",0.91
Matt,Jones,RB,WSH,CAR,#7,137,37,0,0,0,6.37,24.65,0.09,1.09,9.03,0.08,4.31,4.83,"$6,100",0.79
Dontrelle,Inman,WR,SD,KC,#9,138,53,0,0,0,0,0,0,2.4,34.68,0.14,4.28,5.47,"$5,000",1.09
Chris,Givens,WR,BAL,STL,#2,140,54,0,0,0,0.1,0.39,0,2.84,33.5,0.13,4.26,5.65,"$4,500",1.26
Darren,Fells,TE,ARI,CIN,#11,139,21,0,0,0,0,0,0,1.94,27.81,0.25,4.26,5.21,"$4,800",1.09
Jared,Cook,TE,STL,BAL,#17,141,22,0,0,0,0,0,0,2.71,29.01,0.24,4.24,5.58,"$4,800",1.16
David,Cobb,RB,TEN,JAC,#23,142,38,0.07,0.02,0,4.42,14.86,0.12,1.72,14.83,0.08,4.21,5.09,"$4,600",1.11
Mike,Wallace,WR,MIN,GB,#21,143,55,0.74,0.02,0,0,0,0,2.82,34.34,0.12,4.16,5.59,"$5,200",1.08
Kenny,Britt,WR,STL,BAL,#17,144,56,0,0,0,0,0,0,2.07,31.47,0.16,4.11,5.14,"$5,300",0.97
Darren,Sproles,RB,PHI,TB,#18,145,39,0,0,0,2.01,8.46,0.06,2.62,22.22,0.12,4.1,5.44,"$5,400",1.01
Mychal,Rivera,TE,OAK,DET,#27,146,23,0,0,0,0,0,0,2.83,27.18,0.21,3.99,5.43,"$4,700",1.16
Robert,Woods,WR,BUF,NE,#14,147,57,0,0,0,0.07,0.44,0,2.93,30.25,0.15,3.98,5.55,"$5,100",1.09
James,White,RB,NE,BUF,#10,148,40,0,0,0,1.8,5.38,0.05,2.72,30.96,0,3.9,5.29,"$5,100",1.04
Kendall,Gaskins,RB,SF,SEA,#3,148,40,0,0,0,5.42,19.82,0,1.91,19.23,0,3.9,4.86,"$5,000",0.97
Taiwan,Jones,RB,OAK,DET,#27,149,41,0,0,0,3.31,18.48,0.12,0.83,8.07,0.08,3.86,4.27,"$5,000",0.85
Torrey,Smith,WR,SF,SEA,#3,150,58,0,0,0,0,0,0,1.5,22.68,0.26,3.79,4.54,"$5,500",0.83
Nelson,Agholor,WR,PHI,TB,#18,151,59,0,0,0,0,0,0,2.13,28.44,0.16,3.75,4.85,"$5,100",0.95
Chris,Thompson,RB,WSH,CAR,#7,152,42,0,0,0,2.1,12.07,0.08,2.08,17.64,0.07,3.74,4.83,"$5,100",0.95
Fred,Jackson,RB,SEA,SF,#29,153,43,0,0,0,2.46,11.34,0.19,1.37,11.75,0.03,3.7,4.35,"$5,400",0.81
Devin,Street,WR,DAL,MIA,#26,154,60,0,0,0,0,0,0,1.11,25.26,0.19,3.67,4.22,"$4,900",0.86
Alfred,Morris,RB,WSH,CAR,#7,155,44,0,0,0,7.03,23.54,0.1,1.09,7.04,0,3.62,4.14,"$5,400",0.77
Ahmad,Bradshaw,RB,IND,ATL,#19,156,45,0,0,0,1.62,3.09,0.02,2,18.85,0.22,3.56,4.55,"$5,000",0.91
Albert,Wilson,WR,KC,SD,#28,157,61,0,0,0,0,0,0,1.69,25.76,0.17,3.55,4.4,"$4,500",0.98
